Year,GEO,"RATE_Youth, under 20 years, as a proportion of total population#Percent#units#17100133_StatsCanada","RATE_Seniors, 65 years and over, as a proportion of total population#Percent#units#17100133_StatsCanada","RATE_Youth, under 20 years, as a proportion of total population#Percent#units#17100133_StatsCanada"
2008,"Thunder Bay District Health Unit, Ontario",23.3,15.1,23.3
2008,"Timiskaming Health Unit, Ontario",22.1,18.1,22.1
2008,"Toronto Central Health Integration Network, Ontario",21.4,13.7,21.4
2008,"Vancouver Health Service Delivery Area, British Columbia",17.1,12.7,17.1
2008,"Waterloo Health Unit, Ontario",25.5,11.6,25.5
2008,"Waterloo Wellington Health Integration Network, Ontario",25.6,12,25.6
2008,"Wellington-Dufferin-Guelph Health Unit, Ontario",26.1,12.5,26.1
2008,"Western Regional Health Authority, Newfoundland and Labrador",20.7,16.5,20.7
2008,"Windsor-Essex County Health Unit, Ontario",25,13.5,25
2008,"Winnipeg Regional Health Authority, Manitoba",23.8,13.9,23.8
2008,"York Regional Health Unit, Ontario",26.4,10.5,26.4
2008,Yukon,24.4,7.6,24.4
2008,"Zone 1 (Moncton area), New Brunswick",21.1,15,21.1
2008,"Zone 1 - Western, Nova Scotia",21.1,18.1,21.1
2008,"Zone 2 (Saint John area), New Brunswick",23.6,14.8,23.6
2008,"Zone 2 - Northern, Nova Scotia",22.4,16.6,22.4
2008,"Zone 3 (Fredericton area), New Brunswick",23.4,14,23.4
2008,"Zone 3 - Eastern, Nova Scotia",22.1,17.9,22.1
2008,"Zone 4 (Edmundston area), New Brunswick",20.5,15.1,20.5
2008,"Zone 4 - Central, Nova Scotia",22.1,12.3,22.1
2008,"Zone 5 (Campbellton area), New Brunswick",19.6,19,19.6
2008,"Zone 6 (Bathurst area), New Brunswick",19.2,16.3,19.2
2008,"Zone 7 (Miramichi area), New Brunswick",21.9,16.4,21.9
2009,Alberta,25.1,10.4,25.1
2009,"Athabasca Health Authority, Saskatchewan",43.5,4,43.5
2009,"Brant County Health Unit, Ontario",25.4,14.4,25.4
2009,British Columbia,21.9,14.7,21.9
2009,"Calgary Zone, Alberta",24.3,9.3,24.3
2009,Canada,23.4,13.9,23.4
2009,"Central East Health Integration Network, Ontario",23.4,13.9,23.4
2009,"Central Health Integration Network, Ontario",24.2,12,24.2
2009,"Central Regional Health Authority, Newfoundland and Labrador",20,17.7,20
2009,"Central Vancouver Island Health Service Delivery Area, British Columbia",20.7,20.1,20.7
2009,"Central West Health Integration Network, Ontario",27.6,9.6,27.6
2009,"Central Zone, Alberta",26.3,12.9,26.3
2009,"Champlain Health Integration Network, Ontario",23.5,13.4,23.5
2009,"Chatham-Kent Health Unit, Ontario",24.1,16.5,24.1
2009,"City of Hamilton Health Unit, Ontario",23.7,14.9,23.7
2009,"City of Ottawa Health Unit, Ontario",23.5,12.5,23.5
2009,"City of Toronto Health Unit, Ontario",21.2,13.8,21.2
2009,"Cypress Regional Health Authority, Saskatchewan",24.2,18.8,24.2
2009,"District of Algoma Health Unit, Ontario",20.6,19.5,20.6
2009,"Durham Regional Health Unit, Ontario",26.7,11.1,26.7
2009,"East Kootenay Health Service Delivery Area, British Columbia",21.8,16.5,21.8
2009,"Eastern Ontario Health Unit, Ontario",23.8,15.5,23.8
2009,"Eastern Regional Health Authority, Newfoundland and Labrador",21.3,13.7,21.3
2009,"Edmonton Zone, Alberta",23.9,10.7,23.9
2009,"Erie St. Clair Health Integration Network, Ontario",24.2,15.1,24.2
2009,"Five Hills Regional Health Authority, Saskatchewan",23.1,18.9,23.1
2009,"Fraser East Health Service Delivery Area, British Columbia",26.1,14.6,26.1
2009,"Fraser North Health Service Delivery Area, British Columbia",22.4,11.9,22.4
2009,"Fraser South Health Service Delivery Area, British Columbia",25.4,12.6,25.4
2009,"Grey Bruce Health Unit, Ontario",21.9,19.3,21.9
2009,"Haldimand-Norfolk Health Unit, Ontario",23.6,16.4,23.6
2009,"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario",20.7,20.9,20.7
2009,"Halton Regional Health Unit, Ontario",26.3,12.5,26.3
2009,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",23.5,16,23.5
2009,"Hastings and Prince Edward Counties Health Unit, Ontario",22.2,18.1,22.2
2009,"Heartland Regional Health Authority, Saskatchewan",24.9,18.5,24.9
2009,"Huron County Health Unit, Ontario",24.6,18.5,24.6
2009,"Interlake-Eastern Regional Health Authority, Manitoba",26.7,15,26.7
2009,"Keewatin Yatthé Regional Health Authority, Saskatchewan",41.8,6,41.8
2009,"Kelsey Trail Regional Health Authority, Saskatchewan",26.2,19.4,26.2
2009,"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario",22,16.1,22
2009,"Kootenay-Boundary Health Service Delivery Area, British Columbia",20.7,17.9,20.7
2009,"Labrador-Grenfell Regional Health Authority, Newfoundland and Labrador",25.4,9.8,25.4
2009,"Lambton Health Unit, Ontario",22.8,17.4,22.8
2009,"Leeds, Grenville and Lanark District Health Unit, Ontario",22.3,17.8,22.3
2009,"Mamawetan Churchill River Regional Health Authority, Saskatchewan",43.9,4.8,43.9
2009,"Mamawetan/Keewatin/Athabasca, Saskatchewan",43.2,5.1,43.2
2009,Manitoba,26.3,13.8,26.3
2009,"Middlesex-London Health Unit, Ontario",23.7,13.9,23.7
2009,"Mississauga Halton Health Integration Network, Ontario",26,10.8,26
2009,New Brunswick,21.7,15.4,21.7
2009,Newfoundland and Labrador,21.2,14.7,21.2
2009,"Niagara Regional Area Health Unit, Ontario",22.5,17.7,22.5
2009,"North Bay Parry Sound District Health Unit, Ontario",21.1,18.2,21.1
2009,"North East Health Integration Network, Ontario",22,16.9,22
2009,"North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia",21.8,15.8,21.8
2009,"North Simcoe Muskoka Health Integration Network, Ontario",23.9,15.8,23.9
2009,"North Vancouver Island Health Service Delivery Area, British Columbia",22,17,22
2009,"North West Health Integration Network, Ontario",24.7,14.6,24.7
2009,"North Zone, Alberta",28.7,8.6,28.7
2009,"Northeast Health Service Delivery Area, British Columbia",28.3,8.4,28.3
2009,"Northern Interior Health Service Delivery Area, British Columbia",25.7,11.3,25.7
2009,"Northern Regional Health Authority, Manitoba",39.8,5.7,39.8
2009,"Northwest Health Service Delivery Area, British Columbia",27.6,10.9,27.6
2009,Northwest Territories,30.2,5.2,30.2
2009,"Northwestern Health Unit, Ontario",28,13.1,28
2009,Nova Scotia,21.6,15.6,21.6
2009,Nunavut,42.4,3,42.4
2009,"Okanagan Health Service Delivery Area, British Columbia",20.6,20.6,20.6
2009,Ontario by Health Unit,23.9,13.7,23.9
2009,Ontario by Local Health Integration Network,23.9,13.7,23.9
2009,"Oxford Elgin St. Thomas Health Unit, Ontario ",25.6,15.2,25.6
2009,"Peel Regional Health Unit, Ontario",27.4,9.5,27.4
2009,Peer group A,27.8,10.4,27.8
2009,Peer group B,23.9,12.8,23.9
2009,Peer group C,22,17,22
2009,Peer group D,24.7,14.8,24.7
2009,Peer group E,21,16.9,21
2009,Peer group F,41.6,4.8,41.6
2009,Peer group G,20.4,14.2,20.4
2009,Peer group H,25.3,11.3,25.3
2009,"Perth District Health Unit, Ontario",25.6,15.5,25.6
2009,"Peterborough County-City Health Unit, Ontario",21.2,18.9,21.2
2009,"Porcupine Health Unit, Ontario",24.7,13.8,24.7
2009,"Prairie Mountain Health, Manitoba",25.3,17.7,25.3
2009,"Prairie North Regional Health Authority, Saskatchewan",31.2,11.8,31.2
2009,"Prince Albert Parkland Regional Health Authority, Saskatchewan",29.5,14.4,29.5
2009,Prince Edward Island,23.6,15.3,23.6
2009,Quebec,22.2,14.9,22.2
2009,"Regina Qu'Appelle Regional Health Authority, Saskatchewan",25.1,13.6,25.1
2009,"Renfrew County and District Health Unit, Ontario",22.3,17.1,22.3
2009,"Richmond Health Service Delivery Area, British Columbia",21.2,12.8,21.2
2009,"Région de Lanaudière, Quebec",24.3,13.1,24.3
2009,"Région de Laval, Quebec",24.1,14.8,24.1
2009,"Région de Montréal, Quebec",20.5,15.2,20.5
2009,"Région de l'Abitibi-Témiscamingue, Quebec",23.8,14,23.8
2009,"Région de l'Estrie, Quebec",22.3,16.1,22.3
2009,"Région de l'Outaouais, Quebec",23.8,11.9,23.8
2009,"Région de la Capitale-Nationale, Quebec",19.7,16.4,19.7
2009,"Région de la Chaudière-Appalaches, Quebec",22.4,15.4,22.4
2009,"Région de la Côte-Nord, Quebec",23.4,13.2,23.4
2009,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",19,19.1,19
2009,"Région de la Mauricie et du Centre-du-Québec, Quebec",20.9,17.7,20.9
2009,"Région de la Montérégie, Quebec",23.9,13.7,23.9
2009,"Région des Laurentides, Quebec",24.1,13.3,24.1
2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",41.9,4.8,41.9
2009,"Région du Bas-Saint-Laurent, Quebec",20,18.2,20
2009,"Région du Nord-du-Québec, Quebec",24.5,9.3,24.5
2009,"Région du Nunavik, Quebec",45.2,3.1,45.2
2009,"Région du Saguenay - Lac-Saint-Jean, Quebec",21.3,16.2,21.3
2009,Saskatchewan,26.2,14.6,26.2
2009,"Saskatoon Regional Health Authority, Saskatchewan",25.1,13,25.1
2009,"Simcoe Muskoka District Health Unit, Ontario",24.2,15.2,24.2
2009,"South East Health Integration Network, Ontario",21.9,17.7,21.9
2009,"South Vancouver Island Health Service Delivery Area, British Columbia",18.9,17.9,18.9
2009,"South West Health Integration Network, Ontario",24,15.5,24
2009,"South Zone, Alberta",26.7,13.4,26.7
2009,"Southern Health, Manitoba",31.7,12.3,31.7
2009,"Sudbury and District Health Unit, Ontario",22.4,15.5,22.4
2009,"Sun Country Regional Health Authority, Saskatchewan",25.3,17,25.3
2009,"Sunrise Regional Health Authority, Saskatchewan",22.8,22.1,22.8
2009,"Thompson/Cariboo Health Service Delivery Area, British Columbia",22,16.7,22
2009,"Thunder Bay District Health Unit, Ontario",22.9,15.4,22.9
2009,"Timiskaming Health Unit, Ontario",21.8,18.5,21.8
2009,"Toronto Central Health Integration Network, Ontario",21.2,13.8,21.2
2009,"Vancouver Health Service Delivery Area, British Columbia",16.9,12.8,16.9
2009,"Waterloo Health Unit, Ontario",25.3,11.8,25.3
2009,"Waterloo Wellington Health Integration Network, Ontario",25.3,12.2,25.3
2009,"Wellington-Dufferin-Guelph Health Unit, Ontario",25.9,12.8,25.9
2009,"Western Regional Health Authority, Newfoundland and Labrador",20.5,16.9,20.5
2009,"Windsor-Essex County Health Unit, Ontario",24.7,14,24.7
2009,"Winnipeg Regional Health Authority, Manitoba",23.7,14,23.7
2009,"York Regional Health Unit, Ontario",26.2,10.8,26.2
2009,Yukon,24.1,8.2,24.1
2009,"Zone 1 (Moncton area), New Brunswick",21,15.3,21
2009,"Zone 1 - Western, Nova Scotia",20.7,18.7,20.7
2009,"Zone 2 (Saint John area), New Brunswick",23.3,15,23.3
2009,"Zone 2 - Northern, Nova Scotia",22.1,16.9,22.1
2009,"Zone 3 (Fredericton area), New Brunswick",23.2,14.3,23.2
2009,"Zone 3 - Eastern, Nova Scotia",21.7,18.4,21.7
2009,"Zone 4 (Edmundston area), New Brunswick",20.2,15.6,20.2
2009,"Zone 4 - Central, Nova Scotia",21.8,12.5,21.8
2009,"Zone 5 (Campbellton area), New Brunswick",19,19.6,19
2009,"Zone 6 (Bathurst area), New Brunswick",18.8,16.9,18.8
2009,"Zone 7 (Miramichi area), New Brunswick",21.4,16.9,21.4
2010,Alberta,25,10.5,25
2010,"Athabasca Health Authority, Saskatchewan",42.8,4.4,42.8
2010,"Brant County Health Unit, Ontario",25,14.6,25
2010,British Columbia,21.6,14.9,21.6
2010,"Calgary Zone, Alberta",24.2,9.5,24.2
2010,Canada,23.1,14.1,23.1
2010,"Central East Health Integration Network, Ontario",23.1,14.2,23.1
2010,"Central Health Integration Network, Ontario",24,12.2,24
2010,"Central Regional Health Authority, Newfoundland and Labrador",19.6,18.3,19.6
2010,"Central Vancouver Island Health Service Delivery Area, British Columbia",20.3,20.7,20.3
2010,"Central West Health Integration Network, Ontario",27.4,9.9,27.4
2010,"Central Zone, Alberta",26.1,13.1,26.1
2010,"Champlain Health Integration Network, Ontario",23.3,13.6,23.3
2010,"Chatham-Kent Health Unit, Ontario",23.7,17,23.7
2010,"City of Hamilton Health Unit, Ontario",23.4,15,23.4
2010,"City of Ottawa Health Unit, Ontario",23.3,12.6,23.3
2010,"City of Toronto Health Unit, Ontario",20.9,13.9,20.9
2010,"Cypress Regional Health Authority, Saskatchewan",24,18.5,24
2010,"District of Algoma Health Unit, Ontario",20.3,19.9,20.3
2010,"Durham Regional Health Unit, Ontario",26.4,11.5,26.4
2010,"East Kootenay Health Service Delivery Area, British Columbia",21.6,16.9,21.6
2010,"Eastern Ontario Health Unit, Ontario",23.5,15.9,23.5
2010,"Eastern Regional Health Authority, Newfoundland and Labrador",20.9,14,20.9
2010,"Edmonton Zone, Alberta",23.7,10.8,23.7
2010,"Erie St. Clair Health Integration Network, Ontario",23.9,15.6,23.9
2010,"Five Hills Regional Health Authority, Saskatchewan",22.8,18.7,22.8
2010,"Fraser East Health Service Delivery Area, British Columbia",25.8,14.8,25.8
2010,"Fraser North Health Service Delivery Area, British Columbia",22,12,22
2010,"Fraser South Health Service Delivery Area, British Columbia",25.2,12.8,25.2
2010,"Grey Bruce Health Unit, Ontario",21.5,19.7,21.5
2010,"Haldimand-Norfolk Health Unit, Ontario",23.2,16.9,23.2
2010,"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario",20.2,21.4,20.2
2010,"Halton Regional Health Unit, Ontario",26.2,12.7,26.2
2010,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",23.2,16.2,23.2
2010,"Hastings and Prince Edward Counties Health Unit, Ontario",21.8,18.6,21.8
2010,"Heartland Regional Health Authority, Saskatchewan",24.6,18.5,24.6
2010,"Huron County Health Unit, Ontario",24.2,18.9,24.2
2010,"Interlake-Eastern Regional Health Authority, Manitoba",26.5,15.2,26.5
2010,"Keewatin Yatthé Regional Health Authority, Saskatchewan",40.8,6.3,40.8
2010,"Kelsey Trail Regional Health Authority, Saskatchewan",26.1,19.2,26.1
2010,"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario",21.7,16.3,21.7
2010,"Kootenay-Boundary Health Service Delivery Area, British Columbia",20.4,18.4,20.4
2010,"Labrador-Grenfell Regional Health Authority, Newfoundland and Labrador",24.7,10.2,24.7
2010,"Lambton Health Unit, Ontario",22.5,17.8,22.5
2010,"Leeds, Grenville and Lanark District Health Unit, Ontario",21.9,18.3,21.9
2010,"Mamawetan Churchill River Regional Health Authority, Saskatchewan",43.5,4.6,43.5
2010,"Mamawetan/Keewatin/Athabasca, Saskatchewan",42.7,5.1,42.7
2010,Manitoba,26.2,13.9,26.2
2010,"Middlesex-London Health Unit, Ontario",23.5,14.2,23.5
2010,"Mississauga Halton Health Integration Network, Ontario",25.8,11.1,25.8
2010,New Brunswick,21.4,15.8,21.4
2010,Newfoundland and Labrador,20.8,15,20.8
2010,"Niagara Regional Area Health Unit, Ontario",22.2,18,22.2
2010,"North Bay Parry Sound District Health Unit, Ontario",20.7,18.4,20.7
2010,"North East Health Integration Network, Ontario",21.7,17.2,21.7
2010,"North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia",21.5,16.3,21.5
2010,"North Simcoe Muskoka Health Integration Network, Ontario",23.5,16.1,23.5
2010,"North Vancouver Island Health Service Delivery Area, British Columbia",21.6,17.8,21.6
2010,"North West Health Integration Network, Ontario",24.3,14.9,24.3
2010,"North Zone, Alberta",28.5,8.7,28.5
2010,"Northeast Health Service Delivery Area, British Columbia",28.1,8.7,28.1
2010,"Northern Interior Health Service Delivery Area, British Columbia",25.4,11.8,25.4
2010,"Northern Regional Health Authority, Manitoba",39.8,5.9,39.8
2010,"Northwest Health Service Delivery Area, British Columbia",27.2,11.3,27.2
2010,Northwest Territories,29.7,5.3,29.7
2010,"Northwestern Health Unit, Ontario",27.6,13.4,27.6
2010,Nova Scotia,21.2,15.9,21.2
2010,Nunavut,41.9,3.1,41.9
2010,"Okanagan Health Service Delivery Area, British Columbia",20.3,20.8,20.3
2010,Ontario by Health Unit,23.7,14,23.7
2010,Ontario by Local Health Integration Network,23.7,14,23.7
2010,"Oxford Elgin St. Thomas Health Unit, Ontario ",25.5,15.4,25.5
2010,"Peel Regional Health Unit, Ontario",27.1,9.9,27.1
2010,Peer group A,27.5,10.5,27.5
2010,Peer group B,23.6,13.1,23.6
2010,Peer group C,21.6,17.4,21.6
2010,Peer group D,24.4,15.2,24.4
2010,Peer group E,20.5,17.4,20.5
2010,Peer group F,41.3,4.9,41.3
2010,Peer group G,20.2,14.2,20.2
2010,Peer group H,25.1,11.5,25.1
2010,"Perth District Health Unit, Ontario",25.3,15.8,25.3
2010,"Peterborough County-City Health Unit, Ontario",20.9,19.2,20.9
2010,"Porcupine Health Unit, Ontario",24.4,14.1,24.4
2010,"Prairie Mountain Health, Manitoba",25.2,17.5,25.2
2010,"Prairie North Regional Health Authority, Saskatchewan",30.9,11.7,30.9
2010,"Prince Albert Parkland Regional Health Authority, Saskatchewan",29.2,14.4,29.2
2010,Prince Edward Island,23.2,15.6,23.2
2010,Quebec,21.9,15.3,21.9
2010,"Regina Qu'Appelle Regional Health Authority, Saskatchewan",24.8,13.5,24.8
2010,"Renfrew County and District Health Unit, Ontario",21.9,17.5,21.9
2010,"Richmond Health Service Delivery Area, British Columbia",20.9,13,20.9
2010,"Région de Lanaudière, Quebec",23.9,13.5,23.9
2010,"Région de Laval, Quebec",23.8,15.1,23.8
2010,"Région de Montréal, Quebec",20.3,15.3,20.3
2010,"Région de l'Abitibi-Témiscamingue, Quebec",23.4,14.4,23.4
2010,"Région de l'Estrie, Quebec",22,16.6,22
2010,"Région de l'Outaouais, Quebec",23.5,12.3,23.5
2010,"Région de la Capitale-Nationale, Quebec",19.4,16.9,19.4
2010,"Région de la Chaudière-Appalaches, Quebec",22.1,16,22.1
2010,"Région de la Côte-Nord, Quebec",23,13.8,23
2010,"Région de la Gaspésie - Îles-de-la-Madeleine, Quebec",18.5,19.7,18.5
2010,"Région de la Mauricie et du Centre-du-Québec, Quebec",20.5,18.3,20.5
2010,"Région de la Montérégie, Quebec",23.6,14.2,23.6
2010,"Région des Laurentides, Quebec",23.7,13.8,23.7
2010,"Région des Terres-Cries-de-la-Baie-James, Quebec",41.7,4.8,41.7
2010,"Région du Bas-Saint-Laurent, Quebec",19.6,18.9,19.6
2010,"Région du Nord-du-Québec, Quebec",24.4,10.2,24.4
2010,"Région du Nunavik, Quebec",44.4,3.1,44.4
2010,"Région du Saguenay - Lac-Saint-Jean, Quebec",20.9,16.8,20.9
2010,Saskatchewan,25.9,14.5,25.9
2010,"Saskatoon Regional Health Authority, Saskatchewan",24.7,12.9,24.7
2010,"Simcoe Muskoka District Health Unit, Ontario",23.8,15.6,23.8
2010,"South East Health Integration Network, Ontario",21.5,18.1,21.5
2010,"South Vancouver Island Health Service Delivery Area, British Columbia",18.6,18,18.6
2010,"South West Health Integration Network, Ontario",23.7,15.8,23.7
2010,"South Zone, Alberta",26.5,13.5,26.5
2010,"Southern Health, Manitoba",31.8,12.4,31.8
2010,"Sudbury and District Health Unit, Ontario",22.1,15.8,22.1
2010,"Sun Country Regional Health Authority, Saskatchewan",25.2,16.6,25.2
2010,"Sunrise Regional Health Authority, Saskatchewan",22.7,21.9,22.7
2010,"Thompson/Cariboo Health Service Delivery Area, British Columbia",21.6,17.2,21.6
2010,"Thunder Bay District Health Unit, Ontario",22.5,15.6,22.5
2010,"Timiskaming Health Unit, Ontario",21.4,18.7,21.4
2010,"Toronto Central Health Integration Network, Ontario",20.9,13.9,20.9
2010,"Vancouver Health Service Delivery Area, British Columbia",16.7,12.8,16.7
2010,"Waterloo Health Unit, Ontario",25,12,25
2010,"Waterloo Wellington Health Integration Network, Ontario",25.1,12.4,25.1
2010,"Wellington-Dufferin-Guelph Health Unit, Ontario",25.6,13.1,25.6
2010,"Western Regional Health Authority, Newfoundland and Labrador",20.1,17.5,20.1
2010,"Windsor-Essex County Health Unit, Ontario",24.4,14.5,24.4
2010,"Winnipeg Regional Health Authority, Manitoba",23.4,14,23.4
2010,"York Regional Health Unit, Ontario",25.9,11,25.9
2010,Yukon,23.7,8.5,23.7
2010,"Zone 1 (Moncton area), New Brunswick",20.6,15.5,20.6
2010,"Zone 1 - Western, Nova Scotia",20.2,19.2,20.2
2010,"Zone 2 (Saint John area), New Brunswick",23,15.3,23
2010,"Zone 2 - Northern, Nova Scotia",21.8,17.3,21.8
2010,"Zone 3 (Fredericton area), New Brunswick",23,14.5,23
2010,"Zone 3 - Eastern, Nova Scotia",21.2,18.7,21.2
2010,"Zone 4 (Edmundston area), New Brunswick",19.8,16.3,19.8
2010,"Zone 4 - Central, Nova Scotia",21.4,12.7,21.4
2010,"Zone 5 (Campbellton area), New Brunswick",18.4,20.2,18.4
2010,"Zone 6 (Bathurst area), New Brunswick",18.3,17.7,18.3
2010,"Zone 7 (Miramichi area), New Brunswick",20.9,17.4,20.9
2011,Alberta,24.9,10.7,24.9
2011,"Athabasca Health Authority, Saskatchewan",41.5,4.9,41.5
2011,"Brant County Health Unit, Ontario",24.8,14.8,24.8
2011,British Columbia,21.5,15.3,21.5
2011,"Calgary Zone, Alberta",24.3,9.7,24.3
2011,Canada,22.9,14.4,22.9
2011,"Central East Health Integration Network, Ontario",22.8,14.5,22.8
2011,"Central Health Integration Network, Ontario",23.8,12.5,23.8
2011,"Central Regional Health Authority, Newfoundland and Labrador",19.3,19.1,19.3
2011,"Central Vancouver Island Health Service Delivery Area, British Columbia",19.9,21.2,19.9
2011,"Central West Health Integration Network, Ontario",27.2,10.2,27.2
2011,"Central Zone, Alberta",25.9,13.3,25.9
2011,"Champlain Health Integration Network, Ontario",23,13.9,23
2011,"Chatham-Kent Health Unit, Ontario",23.5,17.5,23.5
2011,"City of Hamilton Health Unit, Ontario",23.1,15.3,23.1
2011,"City of Ottawa Health Unit, Ontario",23.1,12.9,23.1
2011,"City of Toronto Health Unit, Ontario",20.7,14,20.7
2011,"Cypress Regional Health Authority, Saskatchewan",23.8,18.5,23.8
2011,"District of Algoma Health Unit, Ontario",20.1,20.3,20.1
2011,"Durham Regional Health Unit, Ontario",26,11.8,26
2011,"East Kootenay Health Service Delivery Area, British Columbia",21.5,17.4,21.5
2011,"Eastern Ontario Health Unit, Ontario",23,16.3,23
2011,"Eastern Regional Health Authority, Newfoundland and Labrador",20.6,14.6,20.6
2011,"Edmonton Zone, Alberta",23.6,11,23.6
2011,"Erie St. Clair Health Integration Network, Ontario",23.7,16,23.7
2011,"Five Hills Regional Health Authority, Saskatchewan",22.6,18.7,22.6
2011,"Fraser East Health Service Delivery Area, British Columbia",25.5,15.2,25.5
2011,"Fraser North Health Service Delivery Area, British Columbia",21.9,12.2,21.9
2011,"Fraser South Health Service Delivery Area, British Columbia",25.1,13.1,25.1
2011,"Grey Bruce Health Unit, Ontario",21.3,20.2,21.3
2011,"Haldimand-Norfolk Health Unit, Ontario",22.9,17.5,22.9
2011,"Haliburton, Kawartha, Pine Ridge District Health Unit, Ontario",19.8,22,19.8
2011,"Halton Regional Health Unit, Ontario",26.2,13,26.2
2011,"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario",22.9,16.5,22.9
2011,"Hastings and Prince Edward Counties Health Unit, Ontario",21.5,19.1,21.5
2011,"Heartland Regional Health Authority, Saskatchewan",24.5,18.8,24.5
2011,"Huron County Health Unit, Ontario",23.8,19.4,23.8
2011,"Interlake-Eastern Regional Health Authority, Manitoba",26.2,15.5,26.2
2011,"Keewatin Yatthé Regional Health Authority, Saskatchewan",39.5,6.5,39.5
2011,"Kelsey Trail Regional Health Authority, Saskatchewan",26.3,19.2,26.3
2011,"Kingston, Frontenac and Lennox and Addington Health Unit, Ontario",21.2,16.6,21.2
2011,"Kootenay-Boundary Health Service Delivery Area, British Columbia",20.3,18.8,20.3
2011,"Labrador-Grenfell Regional Health Authority, Newfoundland and Labrador",24.5,10.7,24.5
2011,"Lambton Health Unit, Ontario",22.2,18.2,22.2
2011,"Leeds, Grenville and Lanark District Health Unit, Ontario",21.5,18.8,21.5
2011,"Mamawetan Churchill River Regional Health Authority, Saskatchewan",43.3,4.8,43.3
2011,"Mamawetan/Keewatin/Athabasca, Saskatchewan",42,5.3,42
2011,Manitoba,26,14,26
2011,"Middlesex-London Health Unit, Ontario",23.2,14.5,23.2
2011,"Mississauga Halton Health Integration Network, Ontario",25.5,11.4,25.5
2011,New Brunswick,21,16.2,21
2011,Newfoundland and Labrador,20.5,15.7,20.5
2011,"Niagara Regional Area Health Unit, Ontario",21.8,18.4,21.8
2011,"North Bay Parry Sound District Health Unit, Ontario",20.4,18.8,20.4
2011,"North East Health Integration Network, Ontario",21.5,17.5,21.5
2011,"North Shore/Coast Garibaldi Health Service Delivery Area, British Columbia",21.5,16.8,21.5
2011,"North Simcoe Muskoka Health Integration Network, Ontario",23.1,16.6,23.1
2011,"North Vancouver Island Health Service Delivery Area, British Columbia",21.3,18.5,21.3
2011,"North West Health Integration Network, Ontario",24.1,15.2,24.1
2011,"North Zone, Alberta",28.2,8.8,28.2
2011,"Northeast Health Service Delivery Area, British Columbia",27.8,8.8,27.8
2011,"Northern Interior Health Service Delivery Area, British Columbia",25.1,12.2,25.1
2011,"Northern Regional Health Authority, Manitoba",39.4,6,39.4
2011,"Northwest Health Service Delivery Area, British Columbia",26.6,12,26.6
2011,Northwest Territories,29.2,5.6,29.2
2011,"Northwestern Health Unit, Ontario",27.5,13.7,27.5
2011,Nova Scotia,20.8,16.3,20.8
2011,Nunavut,41.4,3.2,41.4
2011,"Okanagan Health Service Delivery Area, British Columbia",20,21.2,20
2011,Ontario by Health Unit,23.4,14.2,23.4
2011,Ontario by Local Health Integration Network,23.4,14.2,23.4
2011,"Oxford Elgin St. Thomas Health Unit, Ontario ",25.3,15.8,25.3
2011,"Peel Regional Health Unit, Ontario",26.8,10.2,26.8
2011,Peer group A,27.3,10.7,27.3
2011,Peer group B,23.4,13.3,23.4
2011,Peer group C,21.3,17.9,21.3
2011,Peer group D,24.1,15.6,24.1
2011,Peer group E,20.1,18,20.1
2011,Peer group F,40.9,5,40.9
2011,Peer group G,20,14.4,20
2011,Peer group H,24.9,11.9,24.9
2011,"Perth District Health Unit, Ontario",25.1,16.1,25.1
2011,"Peterborough County-City Health Unit, Ontario",20.5,19.6,20.5
2011,"Porcupine Health Unit, Ontario",24.4,14.4,24.4
2011,"Prairie Mountain Health, Manitoba",25.2,17.5,25.2
2011,"Prairie North Regional Health Authority, Saskatchewan",30.6,11.8,30.6
2011,"Prince Albert Parkland Regional Health Authority, Saskatchewan",28.9,14.5,28.9
2011,Prince Edward Island,22.9,15.9,22.9
2011,Quebec,21.6,15.7,21.6
2011,"Regina Qu'Appelle Regional Health Authority, Saskatchewan",24.6,13.4,24.6
2011,"Renfrew County and District Health Unit, Ontario",21.6,17.8,21.6
2011,"Richmond Health Service Delivery Area, British Columbia",20.8,13.4,20.8
2011,"Région de Lanaudière, Quebec",23.5,14,23.5
2011,"Région de Laval, Quebec",23.5,15.4,23.5
2011,"Région de Montréal, Quebec",20.2,15.3,20.2
2011,"Région de l'Abitibi-Témiscamingue, Quebec",23.1,14.8,23.1
2011,"Région de l'Estrie, Quebec",21.6,17.2,21.6
2011,"Région de l'Outaouais, Quebec",23.1,12.6,23.1
2011,"Région de la Capitale-Nationale, Quebec",19.1,17.4,19.1
2011,"Région de la Chaudière-Appalaches, Quebec",21.8,16.6,21.8
2011,"Région de la Côte-Nord, Quebec",22.6,14.3,22.6
