Year,GEO,"RATE_Professional, scientific and technical services [54]#Persons#thousands#14100098_StatsCanada",RATE_Health care and social assistance [62]#Persons#thousands#14100098_StatsCanada
2016,"St. John's, Newfoundland and Labrador",7.6,17.6
2016,"Thunder Bay, Ontario",3.3,11.5
2016,"Toronto, Ontario",356.2,324.4
2016,"Trois-Rivières, Quebec",4.3,14.4
2016,"Vancouver, British Columbia",130.8,156.6
2016,"Victoria, British Columbia",19.6,27.8
2016,"Windsor, Ontario",7.8,21.2
2016,"Winnipeg, Manitoba",21.9,68.4
2017,"Abbotsford-Mission, British Columbia",3.8,10.2
2017,"Barrie, Ontario",8,13.7
2017,"Brantford, Ontario",3.7,10.4
2017,"Calgary, Alberta",94.1,93.6
2017,"Edmonton, Alberta",55.4,96.2
2017,"Greater Sudbury, Ontario",3.2,14.4
2017,"Guelph, Ontario",7.5,9.5
2017,"Halifax, Nova Scotia",19.3,32.5
2017,"Hamilton, Ontario",29.8,60.2
2017,"Kelowna, British Columbia",8.6,14
2017,"Kingston, Ontario",4.3,17.4
2017,"Kitchener-Cambridge-Waterloo, Ontario",24.9,29.2
2017,"London, Ontario",16.6,38.1
2017,"Moncton, New Brunswick",3.2,13.6
2017,"Montréal, Quebec",217.4,265.5
2017,"Oshawa, Ontario",13.9,26.5
2017,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",60.8,68
2017,"Ottawa-Gatineau, Ontario/Quebec",70.3,90
2017,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",9.5,22
2017,"Peterborough, Ontario",3.6,12.6
2017,"Québec, Quebec",35.3,66.6
2017,"Regina, Saskatchewan",9.8,20.5
2017,"Saguenay, Quebec",4.5,12.6
2017,"Saint John, New Brunswick",3.8,10.1
2017,"Saskatoon, Saskatchewan",12.2,22.9
2017,"Sherbrooke, Quebec",7.9,19.7
2017,"St. Catharines-Niagara, Ontario",9.6,24.5
2017,"St. John's, Newfoundland and Labrador",6.9,18.9
2017,"Thunder Bay, Ontario",3.2,11.9
2017,"Toronto, Ontario",373.5,340.9
2017,"Trois-Rivières, Quebec",4.2,13
2017,"Vancouver, British Columbia",134.4,158.5
2017,"Victoria, British Columbia",17.7,29.8
2017,"Windsor, Ontario",8.1,21.6
2017,"Winnipeg, Manitoba",22.6,69.3
2018,"Abbotsford-Mission, British Columbia",3.2,10.9
2018,"Barrie, Ontario",6.2,15.8
2018,"Brantford, Ontario",2.6,9.3
2018,"Calgary, Alberta",92.8,96.9
2018,"Edmonton, Alberta",59.4,102.3
2018,"Greater Sudbury, Ontario",4.6,13.7
2018,"Guelph, Ontario",6.5,9.5
2018,"Halifax, Nova Scotia",18.8,33.8
2018,"Hamilton, Ontario",35.1,54.6
2018,"Kelowna, British Columbia",8.8,17.6
2018,"Kingston, Ontario",4.1,16.5
2018,"Kitchener-Cambridge-Waterloo, Ontario",25.7,28.5
2018,"London, Ontario",14.8,38.5
2018,"Moncton, New Brunswick",3.9,13.5
2018,"Montréal, Quebec",217.7,288.7
2018,"Oshawa, Ontario",14.8,23.2
2018,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",61.4,68.6
2018,"Ottawa-Gatineau, Ontario/Quebec",70.9,92.2
2018,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",9.5,23.5
2018,"Peterborough, Ontario",3.7,9.9
2018,"Québec, Quebec",34.8,64.3
2018,"Regina, Saskatchewan",8.5,19.8
2018,"Saguenay, Quebec",5.1,12
2018,"Saint John, New Brunswick",3.9,11.5
2018,"Saskatoon, Saskatchewan",10.9,25.1
2018,"Sherbrooke, Quebec",7.7,21.1
2018,"St. Catharines-Niagara, Ontario",7.5,25.2
2018,"St. John's, Newfoundland and Labrador",8.2,18.9
2018,"Thunder Bay, Ontario",3.3,12.4
2018,"Toronto, Ontario",385,335.7
2018,"Trois-Rivières, Quebec",4,12.5
2018,"Vancouver, British Columbia",146.2,163.9
2018,"Victoria, British Columbia",17,31.6
2018,"Windsor, Ontario",7.7,22.7
2018,"Winnipeg, Manitoba",22.2,71.4
2019,"Abbotsford-Mission, British Columbia",4.9,11.6
2019,"Barrie, Ontario",4.9,16.7
2019,"Brantford, Ontario",1.8,9.8
2019,"Calgary, Alberta",101.6,106
2019,"Edmonton, Alberta",54.8,107.5
2019,"Greater Sudbury, Ontario",4.6,14.2
2019,"Guelph, Ontario",6.2,9
2019,"Halifax, Nova Scotia",19.3,35.5
2019,"Hamilton, Ontario",31.1,57.9
2019,"Kelowna, British Columbia",8.9,16.3
2019,"Kingston, Ontario",4.1,18.4
2019,"Kitchener-Cambridge-Waterloo, Ontario",26.8,29.6
2019,"London, Ontario",17,37.5
2019,"Moncton, New Brunswick",4.3,12.9
2019,"Montréal, Quebec",225.1,296.6
2019,"Oshawa, Ontario",14.8,27.8
2019,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",72,68.9
2019,"Ottawa-Gatineau, Ontario/Quebec",81.3,91.6
2019,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",9.2,22.7
2019,"Peterborough, Ontario",3.2,10
2019,"Québec, Quebec",41.1,69.8
2019,"Regina, Saskatchewan",8.5,19.6
2019,"Saguenay, Quebec",5,12.4
2019,"Saint John, New Brunswick",3.8,11.1
2019,"Saskatoon, Saskatchewan",12.9,26.5
2019,"Sherbrooke, Quebec",8.1,20
2019,"St. Catharines-Niagara, Ontario",8.2,26
2019,"St. John's, Newfoundland and Labrador",7.5,19
2019,"Thunder Bay, Ontario",3,12.6
2019,"Toronto, Ontario",425.4,372.3
2019,"Trois-Rivières, Quebec",4,13.1
2019,"Vancouver, British Columbia",154.8,160.6
2019,"Victoria, British Columbia",17.1,28.5
2019,"Windsor, Ontario",6.8,22.4
2019,"Winnipeg, Manitoba",23.8,69.9
